Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
8-Jan-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,1.71,1.74,1.72,1.7,0.02,1.18%,148104,-
8-Jan-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
8-Jan-26,SKL,Shri Krishana Overseas Plc,5.8,12,7.42,8.2,8.16,7.5,0.66,8.80%,2438,-
8-Jan-26,UNGA,Unga Group Ltd,18.05,34,21.3,23.5,22.85,22.3,0.55,2.47%,632,-
8-Jan-26,SCOM,Safaricom Plc,17,34.2,29.1,30,29.15,29.1,0.05,0.17%,7344434,-
8-Jan-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
8-Jan-26,GLD,ABSA NewGold ETF,881,9800,5325,5770,5420,5375,45,0.84%,187,-
8-Jan-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,870,875,874,875,-1,-0.11%,155,-
8-Jan-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2032.54,2032.54,2032.54,2025.73,6.81,0.34%,-,-
8-Jan-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3221.29,3221.29,3221.29,3198.42,22.87,0.72%,-,-
8-Jan-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5264.11,5264.11,5264.11,5239.13,24.98,0.48%,-,-
8-Jan-26,^NASI,NSE All-Share Index,123.6,216.69,192.08,192.08,192.08,191.27,0.81,0.42%,-,-
8-Jan-26,^NBSI,NSE Banking Sector Index,149.92,245.9,211.42,211.42,211.42,210.17,1.25,0.59%,-,-
8-Jan-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1151.59,1151.59,1151.59,1151.71,-0.12,-0.01%,-,-
8-Jan-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4190.49,4190.49,4190.49,4176.53,13.96,0.33%,-,-
8-Jan-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,2797.99,2797.99,2797.99,2787.59,10.4,0.37%,-,-
9-Jan-26,EGAD,Eaagads Ltd,11,35.25,19.1,19.3,19.2,19.15,0.05,0.26%,2440,-
9-Jan-26,KUKZ,Kakuzi Plc,365,440,405,405,402.75,402.75,-,-,41,-
9-Jan-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,236,238,237.5,237.25,0.25,0.11%,2331,-
9-Jan-26,LIMT,Limuru Tea Plc,295,555,440,440,460,460,-,-,2,-
9-Jan-26,SASN,Sasini Plc,13.3,33.9,18,18.4,18.1,18.2,-0.1,-0.55%,29204,-
